Date,Close/Last,Volume,Open,High,Low,Day
05/04/2021,18.94,1072571,19.84,20.42,18.60,170
05/05/2021,20.49,978351,20.80,22.07,20.20,171
05/06/2021,20.60,1515257,20.03,23.10,19.60,172
05/07/2021,20.35,1383402,21.04,21.11,19.28,173
05/10/2021,20.85,1520602,21.78,22.42,20.76,174
05/11/2021,22.38,1604867,21.84,23.04,20.47,175
05/12/2021,22.40,2100544,25.48,25.88,21.02,176
05/13/2021,24.42,10494198,24.40,31.40,23.42,177
05/14/2021,21.76,4189660,22.00,23.10,20.00,178
05/17/2021,21.26,2980805,20.12,23.80,18.18,179
05/18/2021,22.28,2539875,23.64,23.65,20.40,180
05/19/2021,24.99,5721208,28.80,29.74,24.40,181
05/20/2021,23.34,5596115,26.40,27.68,20.22,182
05/21/2021,22.61,14573680,17.66,30.57,17.12,183
05/24/2021,17.77,10448020,32.78,35.11,15.62,184
05/25/2021,46.80,2532788,50.00,50.00,45.20,185
05/26/2021,46.40,2811583,54.40,54.80,45.20,186
05/27/2021,47.60,5028443,47.40,58.80,45.20,187
05/28/2021,44.80,5103348,50.80,53.20,40.00,188
06/01/2021,55.60,5709205,59.20,66.40,49.60,189
06/02/2021,72.00,17541083,78.40,90.00,48.00,190
06/03/2021,41.20,32754025,108.00,156.00,36.00,191
06/04/2021,66.00,28425250,32.49,94.00,30.22,192
06/07/2021,28.20,33661425,23.96,39.20,15.53,193
06/08/2021,11.41,39335925,3.99,14.39,3.60,194
06/09/2021,2.44,7286795,1.92,2.80,1.80,195
06/10/2021,1.84,2533813,1.68,1.94,1.60,196
06/11/2021,1.62,1983515,1.66,1.66,1.56,197
06/14/2021,1.67,1488241,1.66,1.73,1.61,198
06/15/2021,1.75,4422883,1.92,2.08,1.67,199
06/16/2021,1.65,1728795,1.64,1.75,1.60,200
06/17/2021,1.64,2132318,1.64,1.74,1.52,201
06/18/2021,1.60,2912515,1.89,1.98,1.60,202
06/21/2021,1.84,2003593,1.96,1.96,1.64,203
06/22/2021,1.76,1788472,1.68,1.96,1.58,204
06/23/2021,1.67,2020401,1.78,1.78,1.52,205
06/24/2021,1.88,1688188,2.00,2.08,1.84,206
06/25/2021,1.96,773294,1.99,1.99,1.80,207
06/28/2021,2.00,1495920,2.20,2.20,1.92,208
06/29/2021,2.16,1625014,2.28,2.46,2.00,209
06/30/2021,2.22,933595,2.34,2.60,2.04,210
07/01/2021,2.35,742548,2.53,2.55,2.24,211
07/02/2021,2.46,676602,2.48,2.85,2.44,212
07/06/2021,2.44,568675,2.74,2.74,2.44,213
07/07/2021,2.64,585594,2.80,2.86,2.60,214
07/08/2021,2.88,588719,3.20,3.20,2.80,215
07/09/2021,3.20,616742,3.40,3.58,3.16,216
07/12/2021,3.32,588680,3.63,3.63,3.20,217
07/13/2021,3.63,1055419,4.28,4.37,3.60,218
07/14/2021,4.47,2123863,4.00,4.60,3.70,219
07/15/2021,3.60,1348836,3.36,4.20,3.24,220
07/16/2021,3.14,512195,3.30,3.39,3.12,221
07/19/2021,3.42,423466,3.60,3.64,3.28,222
07/20/2021,3.60,368631,3.64,3.83,3.56,223
07/21/2021,3.60,362943,3.84,3.84,3.48,224
07/22/2021,3.79,215170,4.00,4.00,3.60,225
07/23/2021,4.00,555619,3.79,4.79,3.52,226
07/26/2021,3.81,481601,4.00,4.16,3.50,227
07/27/2021,4.00,473744,4.56,4.80,4.00,228
07/28/2021,4.56,601035,5.25,5.39,4.06,229
07/29/2021,5.27,1900279,6.88,6.92,5.09,230
07/30/2021,5.44,2570258,3.68,6.00,3.56,231
08/02/2021,3.66,343649,3.76,3.80,3.44,232
08/03/2021,3.68,479458,4.26,4.32,3.61,233
08/04/2021,4.20,425093,4.00,4.76,3.90,234
08/05/2021,3.88,259678,4.27,4.40,3.84,235
08/06/2021,4.27,229479,4.40,4.48,4.03,236
08/09/2021,4.32,782665,4.00,5.48,3.99,237
08/10/2021,4.04,687927,5.12,5.20,3.82,238
08/11/2021,5.16,195669,5.40,5.47,4.92,239
08/12/2021,5.32,335124,5.84,5.88,5.20,240
08/13/2021,5.91,229048,6.41,6.45,5.86,241
08/16/2021,6.53,243300,7.16,7.30,6.41,242
08/17/2021,7.00,340047,7.20,7.24,6.40,243
08/18/2021,7.36,175743,8.17,8.24,7.23,244
08/19/2021,7.92,354095,7.60,9.40,6.84,245
08/20/2021,8.38,83332,8.04,8.38,7.20,246
08/23/2021,7.51,392839,9.84,9.84,7.43,247
08/24/2021,9.84,145790,9.56,9.85,9.01,248
08/25/2021,9.32,270005,10.32,11.27,8.76,249
08/26/2021,10.32,98737,9.24,10.32,8.83,250
08/27/2021,9.60,219635,9.24,10.60,9.14,251
08/30/2021,8.82,226860,9.61,9.86,8.41,252
08/31/2021,9.66,337123,11.46,12.60,8.35,253
09/01/2021,11.24,408543,12.96,14.60,11.11,254
09/02/2021,13.09,1434772,7.82,17.94,7.74,255
09/03/2021,7.68,247362,8.78,8.82,7.44,256
09/07/2021,8.69,184702,9.90,9.95,8.44,257
09/08/2021,9.90,143600,11.23,11.40,9.62,258
09/09/2021,10.62,85067,10.66,11.16,10.44,259
09/10/2021,10.68,164186,11.14,11.28,10.09,260
09/13/2021,10.86,139760,12.29,12.34,10.80,261
09/14/2021,12.48,160990,13.08,13.63,11.53,262
09/15/2021,12.82,94194,13.88,13.91,12.37,263
09/16/2021,14.10,159409,15.26,15.30,12.00,264
09/17/2021,15.26,78263,16.30,16.30,15.01,265
09/20/2021,16.21,43601,16.64,17.16,16.08,266
09/21/2021,16.96,40755,18.00,18.00,16.80,267
09/22/2021,17.58,76702,16.97,18.48,16.80,268
