Date,Close/Last,Volume,Open,High,Low,Day
12/08/2021,"54,336.54",138,"53,472.53","55,872.56","50,688.51",804
12/09/2021,"52,896.53",118,"54,336.54","54,336.54","51,264.51",803
12/10/2021,"51,936.52",122,"52,320.52","55,392.55","50,112.50",802
12/13/2021,"46,848.47",258,"51,648.52","51,648.52","45,888.46",801
12/14/2021,"47,904.48",137,"46,080.46","48,000.48","45,024.45",800
12/15/2021,"45,024.45",212,"47,904.48","48,000.48","43,296.43",799
12/16/2021,"45,984.46",197,"45,504.46","47,904.48","44,640.45",798
12/17/2021,"50,784.51",292,"45,696.46","53,280.53","45,120.45",797
12/20/2021,"45,984.46",161,"49,728.50","50,267.06","45,792.46",796
12/21/2021,"45,984.46",141,"47,040.47","48,863.53","45,984.46",795
12/22/2021,"48,576.49",112,"46,656.47","48,960.49","45,696.46",794
12/23/2021,"49,152.49",73,"48,576.49","50,496.51","48,288.48",793
12/27/2021,"46,560.47",89,"49,248.49","49,815.86","46,368.46",792
12/28/2021,"47,520.48",104,"47,040.47","48,480.48","46,368.46",791
12/29/2021,"46,464.46",93,"47,040.47","47,568.48","45,720.46",790
12/30/2021,"49,632.50",75,"46,464.46","50,304.50","46,440.46",789
12/31/2021,"51,072.51",82,"48,768.49","51,264.51","48,480.48",788
01/03/2022,"58,176.58",197,"52,032.52","62,112.62","50,112.50",787
01/04/2022,"55,200.55",100,"58,051.78","58,176.58","54,528.55",786
01/05/2022,"54,816.55",53,"54,528.55","57,600.58","54,048.54",785
01/06/2022,"54,048.54",56,"54,816.55","55,680.56","51,504.52",784
01/07/2022,"51,456.51",70,"54,432.54","56,160.56","51,168.51",783
01/10/2022,"49,344.49",93,"51,264.51","51,408.51","48,672.49",782
01/11/2022,"49,440.49",143,"48,768.49","50,784.51","48,192.48",781
01/12/2022,"52,512.53",145,"50,688.51","54,624.55","48,960.49",780
01/13/2022,"51,072.51",145,"52,032.52","53,280.53","49,440.49",779
01/14/2022,"54,240.54",218,"50,016.50","56,160.56","50,016.50",778
01/18/2022,"49,440.49",102,"52,800.53","54,240.54","48,960.49",777
01/19/2022,"48,288.48",87,"50,208.50","52,418.44","48,192.48",776
01/20/2022,"48,000.48",158,"49,344.49","52,416.52","47,424.47",775
01/21/2022,"45,216.45",160,"49,728.50","49,728.50","44,832.45",774
01/24/2022,"43,104.43",281,"43,498.04","44,256.44","37,152.37",773
01/25/2022,"43,200.43",74,"41,184.41","43,776.44","40,896.41",772
01/26/2022,"43,968.44",114,"43,872.44","47,808.48","43,488.43",771
01/27/2022,"40,272.40",112,"43,200.43","43,920.44","39,552.40",770
01/28/2022,"36,960.37",159,"39,648.40","40,656.41","36,576.37",769
01/31/2022,"41,088.41",197,"35,616.36","41,184.41","35,616.36",768
02/01/2022,"43,776.44",101,"40,608.41","43,776.44","40,128.40",767
02/02/2022,"40,512.41",203,"44,494.52","44,494.52","39,360.39",766
02/03/2022,"39,360.39",114,"38,688.39","41,376.41","38,530.95",765
02/04/2022,"41,472.41",112,"39,072.39","43,104.43","38,976.39",764
02/07/2022,"39,168.39",152,"41,280.41","42,720.43","38,976.39",763
02/08/2022,"40,704.41",95,"39,264.39","41,520.42","38,592.39",762
02/09/2022,"42,144.42",169,"40,896.41","43,007.47","40,896.41",761
02/10/2022,"42,144.42",123,"41,007.77","44,304.44","40,804.25",760
